date,playerId,country,gameId,sum(cashTurnover),sum(bonusTurnover),sum(cashWinnings),sum(bonusWinnings),sum(turnover),sum(winnings),sum(cashResult),sum(bonusResult),sum(grossResult)
2017-04-07,50,SE,2555,3.5999999999999996,0.0,0.0,0.0,3.5999999999999996,0.0,3.5999999999999996,0.0,3.5999999999999996
2017-04-07,50,SE,2321,0.23371857945847402,0.0,0.0,0.0,0.23371857945847402,0.0,0.23371857945847402,0.0,0.23371857945847402
2017-04-07,50,SE,1463,2.0,0.0,4.0,0.0,2.0,4.0,-2.0,0.0,-2.0
2017-04-07,50,SE,403,0.0,0.0,5.62716880464348,0.0,0.0,5.62716880464348,-5.62716880464348,0.0,-5.62716880464348
2017-04-07,49,SE,2555,2.4,0.0,0.2,0.0,2.4,0.2,2.1999999999999997,0.0,2.1999999999999997
2017-04-07,49,SE,1463,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
2017-04-07,48,SE,2555,4.8,0.0,0.2,0.0,4.8,0.2,4.6000000000000005,0.0,4.6000000000000005
2017-04-07,48,SE,2321,1.051733607563133,0.0,0.0,0.0,1.051733607563133,0.0,1.051733607563133,0.0,1.051733607563133
2017-04-07,48,SE,1463,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
2017-04-07,47,SE,2555,4.8,0.0,2.4400000000000004,0.0,4.8,2.4400000000000004,2.3599999999999994,0.0,2.3599999999999994
2017-04-07,47,SE,2321,0.818015028104659,0.0,0.0,0.0,0.818015028104659,0.0,0.818015028104659,0.0,0.818015028104659
2017-04-07,47,SE,1463,3.0,0.0,4.0,0.0,3.0,4.0,-1.0,0.0,-1.0
2017-04-07,46,SE,2555,2.4,0.0,2.16,0.0,2.4,2.16,0.23999999999999977,0.0,0.23999999999999977
2017-04-07,46,SE,1463,7.0,0.0,8.0,0.0,7.0,8.0,-1.0,0.0,-1.0
2017-04-07,46,SE,403,0.0,0.0,5.62716880464348,0.0,0.0,5.62716880464348,-5.62716880464348,0.0,-5.62716880464348
2017-04-07,45,SE,2555,0.0,0.0,0.6,0.0,0.0,0.6,-0.6,0.0,-0.6
2017-04-07,45,SE,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,45,SE,1463,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2017-04-07,44,SE,2555,1.2,0.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0
2017-04-07,44,SE,1463,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0
2017-04-07,43,SE,2555,4.8,0.0,1.2,0.0,4.8,1.2,3.5999999999999996,0.0,3.5999999999999996
2017-04-07,43,SE,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,43,SE,1463,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
2017-04-07,42,SE,2555,3.5999999999999996,0.0,0.0,0.0,3.5999999999999996,0.0,3.5999999999999996,0.0,3.5999999999999996
2017-04-07,42,SE,1463,12.0,0.0,18.0,0.0,12.0,18.0,-6.0,0.0,-6.0
2017-04-07,41,SE,2555,1.2,0.0,10.879999999999999,0.0,1.2,10.879999999999999,-9.68,0.0,-9.68
2017-04-07,41,SE,2321,0.23371857945847402,0.0,0.0,0.0,0.23371857945847402,0.0,0.23371857945847402,0.0,0.23371857945847402
2017-04-07,41,SE,1463,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
2017-04-07,40,FI,2555,3.5999999999999996,0.0,0.0,0.0,3.5999999999999996,0.0,3.5999999999999996,0.0,3.5999999999999996
2017-04-07,40,FI,2321,0.584296448646185,0.0,0.0,0.0,0.584296448646185,0.0,0.584296448646185,0.0,0.584296448646185
2017-04-07,40,FI,1463,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2017-04-07,39,NO,2555,3.5999999999999996,0.0,0.0,0.0,3.5999999999999996,0.0,3.5999999999999996,0.0,3.5999999999999996
2017-04-07,39,NO,2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,39,NO,1463,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0
