Date;realAmount;bonusAmount;channelUID;txCurrency;gameID;txType;BetId;PlayerId
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;1;11
2017-03-20;7,5;0;DESKTOP;SEK;2466;RESULT;2;20
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;3;13
2017-03-20;2,5;0;DESKTOP;SEK;2466;RESULT;4;13
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;5;35
2017-03-20;25;0;DESKTOP;SEK;2466;RESULT;6;17
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;7;44
2017-03-20;2,5;0;DESKTOP;SEK;2466;RESULT;8;49
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;9;6
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;10;39
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;11;27
2017-03-20;12,5;0;DESKTOP;SEK;2466;RESULT;12;2
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;13;9
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;14;13
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;15;34
2017-03-20;2,5;0;DESKTOP;SEK;2466;RESULT;16;10
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;17;49
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;18;45
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;19;45
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;20;48
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;21;37
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;22;9
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;23;23
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;24;48
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;25;15
2017-03-20;212,5;0;DESKTOP;SEK;2466;RESULT;26;27
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;27;30
2017-03-20;5;0;DESKTOP;SEK;2466;RESULT;28;46
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;29;38
2017-03-20;5;0;DESKTOP;SEK;2466;RESULT;30;18
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;31;36
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;32;31
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;33;9
2017-03-20;5;0;DESKTOP;SEK;2466;RESULT;34;36
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;35;19
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;36;21
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;37;41
2017-03-20;50;0;DESKTOP;SEK;2466;RESULT;38;42
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;39;8
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;40;44
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;41;28
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;42;18
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;43;21
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;44;47
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;45;3
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;46;20
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;47;20
2017-03-20;10;0;DESKTOP;SEK;2466;RESULT;48;33
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;49;1
2017-03-20;5;0;DESKTOP;SEK;2466;RESULT;50;29
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;51;7
2017-03-20;10;0;DESKTOP;SEK;2466;RESULT;52;15
2017-03-20;0;0;DESKTOP;SEK;2466;WAGER;53;30
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;54;7
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;55;11
2017-03-20;20;0;DESKTOP;SEK;2466;RESULT;56;17
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;57;15
2017-03-20;7,5;0;DESKTOP;SEK;2466;RESULT;58;5
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;59;37
2017-03-20;5;0;DESKTOP;SEK;2466;RESULT;60;44
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;61;44
2017-03-20;2,5;0;DESKTOP;SEK;2466;RESULT;62;32
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;63;33
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;64;18
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;65;1
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;66;25
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;67;11
2017-03-20;10;0;DESKTOP;SEK;2466;RESULT;68;44
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;69;33
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;70;42
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;71;26
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;72;9
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;73;13
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;74;25
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;75;49
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;76;18
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;77;35
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;78;17
2017-03-20;10;0;DESKTOP;SEK;2466;WAGER;79;40
2017-03-20;0;0;DESKTOP;SEK;2466;RESULT;80;18
